idhod,hodnota,stapro_kod,DRUHZVIRE_cis,DRUHZVIRE_kod,refobdobi,rok,uzemi_cis,uzemi_kod,STAPRO_TXT,uzemi_txt,DRUHZVIRE_txt
780790355,66705,5560,132,80,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Drůbež
780788951,4959820,5560,132,80,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Drůbež
780787362,116173,5560,132,30,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Prasata
780787935,316819,5560,132,30,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Prasata
780790319,63563,5560,132,30,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Prasata
780789203,14596,5560,132,30,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Prasata
780787167,1557218,5560,132,30,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Prasata
780788051,37671,5560,132,30,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Prasata
780787956,170218,5560,132,30,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Prasata
780787720,76670,5560,132,30,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Prasata
780790476,103617,5560,132,30,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Prasata
780787363,136968,5560,132,30,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Prasata
780787421,85838,5560,132,30,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Prasata
780787391,98455,5560,132,30,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Prasata
780787666,19867,5560,132,30,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Prasata
780789214,316763,5560,132,30,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Prasata
780789266,680885,5560,132,81,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Slepice
780787941,53341,5560,132,81,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Slepice
780787459,1845124,5560,132,81,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Slepice
780787675,157733,5560,132,81,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Slepice
780787396,7989588,5560,132,81,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Slepice
780788148,434587,5560,132,81,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Slepice
780788825,1615171,5560,132,81,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Slepice
780790511,147995,5560,132,81,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Slepice
780790136,345374,5560,132,81,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Slepice
780790326,788741,5560,132,81,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Slepice
780787799,146772,5560,132,81,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Slepice
780789789,11195,5560,132,81,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Slepice
780787220,2741,5560,132,81,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Slepice
780787586,1759929,5560,132,81,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Slepice
780787949,7050,5560,132,33,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Prasnice chovné
780787972,18520,5560,132,33,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Prasnice chovné
780789139,3658,5560,132,33,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Prasnice chovné
780787453,93,5560,132,33,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Prasnice chovné
780789325,92220,5560,132,33,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Prasnice chovné
780790713,2290,5560,132,33,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Prasnice chovné
780790129,9798,5560,132,33,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Prasnice chovné
780787807,4806,5560,132,33,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Prasnice chovné
780787294,7732,5560,132,33,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Prasnice chovné
780790726,6715,5560,132,33,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Prasnice chovné
780789275,5589,5560,132,33,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Prasnice chovné
780788053,5258,5560,132,33,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Prasnice chovné
780790211,1435,5560,132,33,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Prasnice chovné
780789644,19276,5560,132,33,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Prasnice chovné
780790130,18886,5560,132,50,2018-04-01,2018,100,3042,Počet hospodářských zvířat,Plzeňský kraj,Ovce
780790590,14700,5560,132,50,2018-04-01,2018,100,3107,Počet hospodářských zvířat,Kraj Vysočina,Ovce
780787669,16118,5560,132,50,2018-04-01,2018,100,3085,Počet hospodářských zvířat,Královéhradecký kraj,Ovce
780789314,13027,5560,132,50,2018-04-01,2018,100,3051,Počet hospodářských zvířat,Karlovarský kraj,Ovce
780787815,218915,5560,132,50,2018-04-01,2018,97,19,Počet hospodářských zvířat,Česká republika,Ovce
780790567,15726,5560,132,50,2018-04-01,2018,100,3140,Počet hospodářských zvířat,Moravskoslezský kraj,Ovce
780790585,12373,5560,132,50,2018-04-01,2018,100,3093,Počet hospodářských zvířat,Pardubický kraj,Ovce
780790348,22744,5560,132,50,2018-04-01,2018,100,3131,Počet hospodářských zvířat,Zlínský kraj,Ovce
780787749,29549,5560,132,50,2018-04-01,2018,100,3034,Počet hospodářských zvířat,Jihočeský kraj,Ovce
780790239,9151,5560,132,50,2018-04-01,2018,100,3115,Počet hospodářských zvířat,Jihomoravský kraj,Ovce
780789453,9936,5560,132,50,2018-04-01,2018,100,3123,Počet hospodářských zvířat,Olomoucký kraj,Ovce
780789218,14668,5560,132,50,2018-04-01,2018,100,3069,Počet hospodářských zvířat,Ústecký kraj,Ovce
780790715,16329,5560,132,50,2018-04-01,2018,100,3077,Počet hospodářských zvířat,Liberecký kraj,Ovce
780788701,25708,5560,132,50,2018-04-01,2018,93,1,Počet hospodářských zvířat,Hlavní město Praha + Středočeský kraj,Ovce
